Fe1,Fe2,Fe3,Fe4,Fe5,Fe6,Fe7,Fe8,Fe9,Fe10,Fe11,Fe12,Target
14.64281679991243,-10.735195477194033,3.3818392726785853,7.7985906992067475,11.493444884691774,-10.521668761485197,-2.693838737897896,0.1314005459761428,-3.741180444254863,-5.512195492093341,-9.150020597234615,-7.6155192954804765,0.0
14.528633179309502,-14.633967936244346,5.641832658072651,-0.6963911752772061,6.606045849483384,-4.031433777728852,-0.6200217750876581,4.187200967205067,2.132213655164346,-3.284687649953048,-4.458232982979778,-6.681778547029107,1.0
13.957434210710629,-12.230372164666166,8.449699740153276,4.223618961433504,9.035483340635798,-5.22279680271108,0.1006247286863622,3.270993282892862,-1.159082428849877,-6.141013505181622,-6.398980903265888,-7.394122364445568,2.0
15.18057029007734,-13.251829225539982,3.016010017330096,2.456617347354397,7.464452258472355,-11.51823281455189,-1.7248158898090196,7.703353352286298,4.456323731946081,-0.1868441109885111,-5.697223177686084,-6.189123146294186,3.0
14.817478619987671,-16.654661601054553,4.848232160142515,0.6715532057160414,6.539856091954714,-4.867713998153069,0.9483148467853322,6.872990711950659,2.4210564060160973,-1.5296750662104606,0.8320474734302001,-1.911084126426444,4.0
15.892528762241398,-18.97715711057998,-0.3015030780736463,3.036617082327909,5.273198600101223,-8.008254750431263,1.6217353593544988,5.085529217945339,1.4800052719058834,-3.1740734979507983,-2.8461258697764173,-3.3815280693185006,5.0
15.403275439494095,-17.52570470684112,-1.5256910507423846,10.8383423154669,9.542493439015336,-7.733698381380464,6.169060896170943,3.379860202698215,-1.777609866413219,-2.7227821970573487,-5.690963286151771,-4.538739853441422,6.0
15.116359941470307,-19.629507843942108,0.1884767607792292,4.064400976958337,6.479441645711355,-8.138703278670821,2.2974159377571803,5.287911489077605,0.1019970060939096,-3.5832431371936257,-2.927559990499148,-2.991696594916354,7.0
15.180720076083135,-12.140406082923034,6.649449176444776,5.480637548867384,10.961100785535915,-4.09274068284287,-0.6394414293655344,0.9965258362335848,-1.6984073733251837,-5.836626439579982,-6.109637831088924,-4.726851074889666,8.0
15.521292147523916,-16.05677655998099,4.510997811431916,3.279125815444476,9.068558968361268,-6.39616188703957,0.2334314015172064,5.262946671972846,0.4528426212975892,-3.188858056207188,-4.123949247081338,-6.480892122741016,9.0
